               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.015771,           0.0050469,           0.0079675,             0.79919,              0.3505,             0.41198,             0.26943,            0.014629,           0.0051596,           0.0084944,           0.0029482,           0.0029482,           0.0029482
                  60,             0.01575,           0.0049356,           0.0078963,             0.72959,             0.37657,             0.42607,             0.27996,            0.014558,           0.0051734,           0.0083092,           0.0029397,           0.0029397,           0.0029397
                  61,            0.015574,           0.0049552,           0.0078436,             0.77415,              0.3804,             0.42907,             0.29109,            0.014464,           0.0051132,           0.0083135,           0.0029311,           0.0029311,           0.0029311
                  62,            0.015811,           0.0050313,           0.0077823,             0.67593,             0.40675,             0.43382,             0.28603,            0.014477,           0.0051931,           0.0081008,           0.0029224,           0.0029224,           0.0029224
                  63,             0.01551,           0.0049262,            0.007542,             0.75835,             0.39744,             0.43488,             0.28733,            0.014511,           0.0051515,           0.0080655,           0.0029135,           0.0029135,           0.0029135
                  64,            0.015545,           0.0050294,           0.0074932,             0.73462,             0.40078,             0.43382,             0.28908,            0.014528,           0.0051415,           0.0080406,           0.0029045,           0.0029045,           0.0029045
                  65,            0.015594,           0.0049113,           0.0074032,             0.75477,             0.39193,             0.43618,             0.29377,            0.014527,           0.0051719,           0.0079837,           0.0028954,           0.0028954,           0.0028954
                  66,            0.015541,            0.004959,           0.0072456,             0.76736,             0.39291,             0.45148,             0.29706,            0.014653,           0.0051545,           0.0079325,           0.0028862,           0.0028862,           0.0028862
                  67,            0.015505,           0.0049822,           0.0071998,             0.78756,             0.39201,              0.4511,             0.30597,             0.01442,           0.0050636,           0.0078472,           0.0028769,           0.0028769,           0.0028769
                  68,            0.015571,           0.0049371,           0.0073055,             0.77823,             0.38736,             0.44812,             0.30537,             0.01436,           0.0050877,           0.0077624,           0.0028674,           0.0028674,           0.0028674
                  69,            0.015414,           0.0049429,           0.0069829,             0.78162,             0.39103,             0.45888,              0.3012,            0.014327,           0.0050944,           0.0077574,           0.0028578,           0.0028578,           0.0028578
                  70,            0.015186,             0.00493,           0.0070118,             0.77037,              0.3947,             0.45333,             0.30238,            0.014435,           0.0051048,            0.007563,           0.0028482,           0.0028482,           0.0028482
                  71,              0.0153,           0.0049335,           0.0070719,             0.60398,             0.46887,             0.46238,             0.30685,            0.014432,           0.0050658,           0.0075716,           0.0028383,           0.0028383,           0.0028383
                  72,            0.015291,           0.0048456,           0.0068913,             0.61935,             0.45882,             0.45973,             0.31227,            0.014297,           0.0051019,           0.0074382,           0.0028284,           0.0028284,           0.0028284
                  73,            0.015284,           0.0049089,           0.0068181,              0.6354,             0.46582,             0.46909,             0.31714,            0.014134,           0.0050954,           0.0073051,           0.0028184,           0.0028184,           0.0028184
                  74,            0.015227,           0.0049588,           0.0066711,              0.6534,             0.45006,             0.46521,             0.31041,            0.014063,           0.0050779,           0.0074239,           0.0028082,           0.0028082,           0.0028082
                  75,            0.015047,           0.0048864,           0.0067101,             0.64999,             0.47711,             0.47888,             0.32595,            0.014021,           0.0050884,           0.0073093,            0.002798,            0.002798,            0.002798
                  76,            0.015099,           0.0047928,            0.006623,             0.62067,             0.49255,             0.47638,             0.32183,            0.014036,           0.0050674,           0.0071804,           0.0027876,           0.0027876,           0.0027876
                  77,            0.015167,           0.0048347,           0.0065999,             0.67941,             0.46338,             0.47967,             0.32497,            0.013979,           0.0050133,           0.0068822,           0.0027771,           0.0027771,           0.0027771
                  78,            0.015068,           0.0048347,           0.0063081,             0.67754,             0.47123,             0.48083,             0.32055,            0.014066,            0.005035,             0.00721,           0.0027665,           0.0027665,           0.0027665
                  79,            0.014907,           0.0048484,           0.0063594,             0.70086,             0.46806,             0.48371,             0.32116,            0.013983,           0.0050595,           0.0070721,           0.0027558,           0.0027558,           0.0027558
                  80,            0.014908,           0.0046927,           0.0063599,             0.61803,             0.51066,             0.48944,             0.33122,            0.013967,           0.0050988,           0.0069344,            0.002745,            0.002745,            0.002745
                  81,            0.015015,           0.0048393,           0.0062667,              0.5886,             0.51079,             0.48711,             0.33262,            0.013922,           0.0050682,           0.0069421,           0.0027341,           0.0027341,           0.0027341
                  82,            0.014915,           0.0047236,           0.0061012,             0.59442,             0.50888,             0.49248,             0.33348,            0.013959,           0.0050402,           0.0069983,           0.0027231,           0.0027231,           0.0027231
                  83,            0.015031,           0.0047554,             0.00614,             0.72975,             0.46181,             0.49462,             0.33375,            0.013799,           0.0050135,           0.0068158,            0.002712,            0.002712,            0.002712
                  84,            0.014867,           0.0047525,           0.0060227,             0.70182,             0.48705,             0.49637,             0.33728,            0.013841,           0.0050244,           0.0068667,           0.0027008,           0.0027008,           0.0027008
                  85,            0.014882,           0.0046992,           0.0061486,             0.68229,             0.49879,             0.49997,             0.33958,            0.013898,            0.005046,           0.0067778,           0.0026895,           0.0026895,           0.0026895
