               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,             0.01498,           0.0047174,           0.0061129,             0.63104,             0.49073,             0.49527,             0.32787,            0.014077,           0.0050094,           0.0072053,           0.0027231,           0.0027231,           0.0027231
                  83,            0.014998,           0.0047539,           0.0060623,             0.62607,             0.49779,             0.49733,             0.33046,            0.013961,           0.0049831,           0.0070789,            0.002712,            0.002712,            0.002712
                  84,            0.014908,           0.0047494,           0.0059338,             0.65221,             0.48793,             0.49563,             0.33106,            0.013965,           0.0049827,           0.0070827,           0.0027008,           0.0027008,           0.0027008
                  85,            0.015012,            0.004696,           0.0062001,             0.73207,             0.47669,             0.50299,             0.33578,            0.013911,           0.0050032,           0.0071524,           0.0026895,           0.0026895,           0.0026895
                  86,            0.014628,           0.0047838,           0.0058209,             0.66543,             0.48665,             0.50382,             0.33756,            0.014023,            0.004971,            0.007138,           0.0026781,           0.0026781,           0.0026781
                  87,            0.014816,           0.0047446,            0.005892,             0.69765,             0.47521,             0.50164,             0.33557,            0.014025,           0.0049757,           0.0070319,           0.0026666,           0.0026666,           0.0026666
                  88,             0.01473,           0.0047959,           0.0057284,             0.62776,             0.49424,             0.49817,             0.33668,            0.013967,           0.0049571,           0.0071925,            0.002655,            0.002655,            0.002655
                  89,             0.01463,           0.0046987,           0.0056496,             0.68208,             0.48453,             0.50629,             0.34453,             0.01387,           0.0049507,           0.0070359,           0.0026433,           0.0026433,           0.0026433
                  90,            0.014496,            0.004632,            0.005662,             0.68251,             0.48273,             0.50838,             0.34604,            0.013889,           0.0049709,           0.0069081,           0.0026315,           0.0026315,           0.0026315
                  91,            0.014648,           0.0047003,           0.0054836,             0.69957,              0.4886,             0.51343,             0.34835,             0.01384,           0.0049841,           0.0069728,           0.0026196,           0.0026196,           0.0026196
                  92,            0.014485,           0.0046633,           0.0056594,             0.66044,             0.52077,              0.5158,             0.34796,            0.013844,           0.0049538,           0.0068896,           0.0026076,           0.0026076,           0.0026076
                  93,            0.014563,           0.0047474,           0.0056194,             0.67529,             0.51588,             0.51842,             0.35142,            0.013829,           0.0049562,           0.0067844,           0.0025956,           0.0025956,           0.0025956
                  94,             0.01456,           0.0047418,           0.0054646,             0.68555,             0.50786,             0.52043,             0.35897,            0.013843,           0.0049568,           0.0066624,           0.0025834,           0.0025834,           0.0025834
                  95,            0.014508,           0.0046499,           0.0055645,             0.69424,             0.51369,             0.52001,             0.35678,            0.013864,           0.0049521,           0.0065641,           0.0025712,           0.0025712,           0.0025712
                  96,            0.014418,           0.0045996,           0.0052625,             0.69174,             0.51192,             0.52176,             0.35826,            0.013874,           0.0049444,           0.0066023,           0.0025589,           0.0025589,           0.0025589
                  97,            0.014382,           0.0046335,           0.0053683,             0.69066,             0.51187,             0.51926,             0.35349,            0.013914,           0.0049681,           0.0067467,           0.0025464,           0.0025464,           0.0025464
                  98,            0.014424,           0.0046906,           0.0053243,             0.71207,             0.50293,             0.52012,              0.3522,            0.013784,           0.0049501,           0.0068151,            0.002534,            0.002534,            0.002534
                  99,            0.014546,           0.0047318,           0.0052754,             0.70509,             0.50192,             0.52327,             0.35186,            0.013747,           0.0049541,           0.0066399,           0.0025214,           0.0025214,           0.0025214
                 100,            0.014361,            0.004613,           0.0051833,             0.70593,             0.50643,             0.52245,             0.35516,            0.013782,           0.0049509,           0.0066592,           0.0025087,           0.0025087,           0.0025087
                 101,            0.014459,           0.0046762,            0.005262,             0.70907,             0.50914,             0.52709,              0.3518,            0.013803,           0.0049258,           0.0065063,            0.002496,            0.002496,            0.002496
                 102,            0.014307,           0.0045762,           0.0051686,             0.71391,              0.5013,             0.52255,             0.35404,            0.013795,           0.0049308,           0.0065745,           0.0024832,           0.0024832,           0.0024832
                 103,            0.014494,           0.0046787,           0.0052102,             0.69354,             0.50292,             0.52339,             0.35727,            0.013717,           0.0049492,           0.0065873,           0.0024703,           0.0024703,           0.0024703
                 104,            0.014282,           0.0046515,           0.0051276,             0.70912,             0.50664,             0.52801,             0.35906,            0.013536,           0.0049148,           0.0065642,           0.0024574,           0.0024574,           0.0024574
                 105,            0.014228,           0.0045788,           0.0052045,             0.69612,             0.51211,             0.53271,             0.36078,            0.013443,           0.0048973,           0.0066046,           0.0024443,           0.0024443,           0.0024443
                 106,            0.014025,           0.0045571,           0.0047566,             0.63969,             0.51992,             0.53368,             0.36345,            0.013445,           0.0048956,           0.0065656,           0.0024312,           0.0024312,           0.0024312
                 107,            0.014138,           0.0046653,           0.0049612,             0.65768,             0.51095,             0.53408,             0.36174,            0.013435,           0.0048721,           0.0065757,            0.002418,            0.002418,            0.002418
                 108,             0.01418,            0.004624,           0.0049546,             0.66832,             0.50372,             0.53264,              0.3665,            0.013392,           0.0048744,           0.0065457,           0.0024048,           0.0024048,           0.0024048
                 109,            0.014087,           0.0045859,           0.0049027,              0.6858,             0.50219,             0.53601,             0.36731,            0.013443,           0.0048726,           0.0065381,           0.0023915,           0.0023915,           0.0023915
                 110,             0.01417,           0.0046379,           0.0048046,              0.6747,              0.5019,             0.53465,             0.36767,            0.013438,           0.0048766,           0.0065712,           0.0023781,           0.0023781,           0.0023781
                 111,            0.014177,           0.0045844,           0.0047043,             0.67162,             0.50692,             0.53714,              0.3691,            0.013482,           0.0048833,            0.006495,           0.0023647,           0.0023647,           0.0023647
                 112,             0.01406,           0.0046119,           0.0047467,             0.65705,             0.51682,             0.53945,             0.37004,            0.013462,           0.0048846,           0.0063866,           0.0023512,           0.0023512,           0.0023512
